Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 77.5,Team Total,DraftKings,77.5,-320.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 78.5,Team Total,DraftKings,78.5,-390.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 79.5,Team Total,DraftKings,79.5,-500.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 80.5,Team Total,DraftKings,80.5,-600.0
28802-29071-2024-12-31,Wyoming vs Boise State,Boise State Under 81.5,Team Total,DraftKings,81.5,-750.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 55.5,Team Total,DraftKings,55.5,-900.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 56.5,Team Total,DraftKings,56.5,-700.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 57.5,Team Total,DraftKings,57.5,-550.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 58.5,Team Total,DraftKings,58.5,-450.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 59.5,Team Total,DraftKings,59.5,-350.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 60.5,Team Total,DraftKings,60.5,-285.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 61.5,Team Total,DraftKings,61.5,-235.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 62.5,Team Total,DraftKings,62.5,-195.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 63.5,Team Total,DraftKings,63.5,-160.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 64.5,Team Total,DraftKings,64.5,-135.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 66.5,Team Total,DraftKings,66.5,100.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 67.5,Team Total,DraftKings,67.5,120.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 68.5,Team Total,DraftKings,68.5,145.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 69.5,Team Total,DraftKings,69.5,170.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 70.5,Team Total,DraftKings,70.5,200.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 71.5,Team Total,DraftKings,71.5,235.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 72.5,Team Total,DraftKings,72.5,275.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 73.5,Team Total,DraftKings,73.5,320.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 74.5,Team Total,DraftKings,74.5,370.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Over 75.5,Team Total,DraftKings,75.5,425.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 55.5,Team Total,DraftKings,55.5,475.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 56.5,Team Total,DraftKings,56.5,400.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 57.5,Team Total,DraftKings,57.5,340.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 58.5,Team Total,DraftKings,58.5,285.0
28802-29071-2024-12-31,Wyoming vs Boise State,Wyoming Under 59.5,Team Total,DraftKings,59.5,240.0
